status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
photo,4/5/2017 11:00,15893,167,521,14276,1488,112,9,2,6
video,4/3/2017 11:14,79083,5477,5601,70522,5699,710,1815,130,204
video,3/31/2017 4:52,7051,53,420,6365,622,60,3,1,0
video,3/30/2017 12:21,39294,502,3951,36052,2835,348,39,10,10
video,3/26/2017 13:37,40026,568,3819,35892,3241,844,33,7,9
photo,3/25/2017 13:22,204315,1368,4230,191933,8923,3348,75,30,6
photo,3/24/2017 12:30,240126,1218,3926,230451,7577,1988,71,28,11
video,3/23/2017 13:25,52208,1267,6842,45049,5153,1924,49,18,15
photo,3/22/2017 12:00,243521,2356,7771,223302,15028,5062,88,37,4
photo,3/21/2017 16:09,92374,837,2327,86304,5332,594,108,20,16
video,3/20/2017 12:00,17449,329,1778,14879,2448,114,5,1,0
video,3/20/2017 0:00,24432,441,2102,20712,3436,262,18,2,2
video,3/19/2017 12:00,26862,531,2425,22763,3920,170,5,3,1
photo,3/18/2017 12:00,15307,298,883,13468,1700,127,10,0,1
video,3/16/2017 12:01,6682,107,688,5995,655,27,4,1,0
video,3/15/2017 12:09,5424,56,425,4931,445,7,41,0,0
photo,3/14/2017 21:46,28359,287,1578,24613,3353,359,22,11,1
link,3/12/2017 5:00,611,8,18,594,16,1,0,0,0
video,3/9/2017 14:56,140472,1888,12976,120430,18568,1350,90,20,14
video,3/8/2017 9:00,238562,6217,40901,208995,24144,5102,233,53,35
photo,3/7/2017 17:15,333693,1964,9633,314584,16366,2425,261,30,27
link,3/6/2017 12:01,5650,82,243,5182,446,21,1,0,0
video,3/5/2017 12:00,11110,137,836,10029,1037,37,5,0,2
video,3/4/2017 12:00,11449,102,855,10374,1010,58,4,1,2
video,3/4/2017 0:33,10782,73,667,9462,1195,121,2,0,2
video,3/3/2017 17:50,65997,873,4892,61349,4236,317,67,17,11
photo,3/2/2017 11:27,7649,89,337,6949,627,72,1,0,0
photo,3/1/2017 21:58,9946,161,307,8885,915,133,10,0,3
video,2/27/2017 18:36,34655,409,4620,31261,3144,210,21,8,11
video,2/23/2017 11:11,65953,1076,10866,59312,5995,534,76,19,16
link,2/16/2017 5:59,826,4,14,794,27,5,0,0,0
link,2/10/2017 12:00,14267,168,847,12814,1382,63,3,3,2
video,2/7/2017 12:00,11046,194,869,9935,1004,95,9,3,0
photo,2/6/2017 12:00,6358,77,325,5805,515,37,1,0,0
video,2/3/2017 12:00,11988,227,1527,10696,1205,80,4,2,1
photo,2/2/2017 14:57,14572,214,888,13046,1386,132,7,1,0
video,2/1/2017 12:00,7896,105,811,7011,800,73,11,0,1
link,1/30/2017 20:00,15614,272,782,13631,1913,63,5,2,0
video,1/29/2017 7:00,8820,80,584,7883,903,31,2,1,0
video,1/27/2017 16:02,435955,13025,137713,345381,64559,25541,303,93,38
video,1/26/2017 16:08,255135,3847,31426,224188,27721,2926,222,39,39
video,1/25/2017 11:01,355879,10007,70529,301651,47040,6643,327,126,89
photo,1/24/2017 15:03,404867,2680,16363,370449,30112,3957,260,46,43
link,1/20/2017 12:00,4699,84,311,4369,300,28,2,0,0
video,1/17/2017 13:00,14629,275,1135,13438,1060,116,13,2,0
video,1/16/2017 18:21,7046,73,974,6317,665,54,5,4,1
video,1/14/2017 12:00,8260,105,405,7679,526,48,5,1,1
video,1/11/2017 12:00,18704,426,3686,16480,2044,170,7,1,2
link,1/10/2017 12:00,7084,83,537,6403,623,54,3,1,0
photo,1/5/2017 14:45,6854,111,492,6182,596,65,7,4,0
video,1/1/2017 12:00,26008,318,2316,23075,2786,136,8,3,0
